Episode 0, epsilon=1.0000, total reward=-17.48
Episode 1, epsilon=0.9800, total reward=-12.68
Episode 2, epsilon=0.9604, total reward=-10.10
Episode 3, epsilon=0.9412, total reward=-9.19
Episode 4, epsilon=0.9224, total reward=-2.98
Episode 5, epsilon=0.9039, total reward=-3.26
Episode 6, epsilon=0.8858, total reward=-2.98
Episode 7, epsilon=0.8681, total reward=-2.49
Episode 8, epsilon=0.8508, total reward=-1.83
Episode 9, epsilon=0.8337, total reward=-1.52
Episode 10, epsilon=0.8171, total reward=-3.39
Episode 11, epsilon=0.8007, total reward=-5.86
Episode 12, epsilon=0.7847, total reward=-3.06
Episode 13, epsilon=0.7690, total reward=-1.47
Episode 14, epsilon=0.7536, total reward=-3.88
Episode 15, epsilon=0.7386, total reward=-3.97
Episode 16, epsilon=0.7238, total reward=-4.62
Episode 17, epsilon=0.7093, total reward=-6.08
Episode 18, epsilon=0.6951, total reward=-0.54
Episode 19, epsilon=0.6812, total reward=-2.50
Episode 20, epsilon=0.6676, total reward=-3.67
Episode 21, epsilon=0.6543, total reward=0.33
Episode 22, epsilon=0.6412, total reward=-5.45
Episode 23, epsilon=0.6283, total reward=-3.36
Episode 24, epsilon=0.6158, total reward=-2.43
Episode 25, epsilon=0.6035, total reward=-4.82
Episode 26, epsilon=0.5914, total reward=-1.10
Episode 27, epsilon=0.5796, total reward=-2.32
Episode 28, epsilon=0.5680, total reward=-2.37
Episode 29, epsilon=0.5566, total reward=-2.80
Episode 30, epsilon=0.5455, total reward=-3.68
Episode 31, epsilon=0.5346, total reward=-2.53
Episode 32, epsilon=0.5239, total reward=-5.59
Episode 33, epsilon=0.5134, total reward=-2.31
Episode 34, epsilon=0.5031, total reward=-1.11
Episode 35, epsilon=0.4931, total reward=-1.90
Episode 36, epsilon=0.4832, total reward=-3.47
Episode 37, epsilon=0.4735, total reward=-6.46
Episode 38, epsilon=0.4641, total reward=-4.86
Episode 39, epsilon=0.4548, total reward=-0.54
Episode 40, epsilon=0.4457, total reward=-3.60
Episode 41, epsilon=0.4368, total reward=-7.47
Episode 42, epsilon=0.4281, total reward=-4.65
Episode 43, epsilon=0.4195, total reward=-3.73
Episode 44, epsilon=0.4111, total reward=-3.41
Episode 45, epsilon=0.4029, total reward=-6.98
Episode 46, epsilon=0.3948, total reward=-7.65
Episode 47, epsilon=0.3869, total reward=-5.29
Episode 48, epsilon=0.3792, total reward=-3.55
Episode 49, epsilon=0.3716, total reward=-0.04
Episode 50, epsilon=0.3642, total reward=-2.42
Episode 51, epsilon=0.3569, total reward=-4.59
Episode 52, epsilon=0.3497, total reward=-4.48
Episode 53, epsilon=0.3428, total reward=-4.16
Episode 54, epsilon=0.3359, total reward=-2.52
Episode 55, epsilon=0.3292, total reward=-2.65
Episode 56, epsilon=0.3226, total reward=-7.93
Episode 57, epsilon=0.3161, total reward=-3.97
Episode 58, epsilon=0.3098, total reward=-4.21
Episode 59, epsilon=0.3036, total reward=-4.64
Episode 60, epsilon=0.2976, total reward=-6.00
Episode 61, epsilon=0.2916, total reward=-3.01
Episode 62, epsilon=0.2858, total reward=-0.39
Episode 63, epsilon=0.2801, total reward=-4.24
Episode 64, epsilon=0.2745, total reward=-6.23
Episode 65, epsilon=0.2690, total reward=-10.02
Episode 66, epsilon=0.2636, total reward=-1.46
Episode 67, epsilon=0.2583, total reward=-2.88
Episode 68, epsilon=0.2531, total reward=-7.01
Episode 69, epsilon=0.2481, total reward=0.30
Episode 70, epsilon=0.2431, total reward=-10.97
Episode 71, epsilon=0.2383, total reward=-3.91
Episode 72, epsilon=0.2335, total reward=-7.45
Episode 73, epsilon=0.2288, total reward=-7.83
Episode 74, epsilon=0.2242, total reward=-4.01
Episode 75, epsilon=0.2198, total reward=-3.27
Episode 76, epsilon=0.2154, total reward=-1.46
Episode 77, epsilon=0.2111, total reward=-1.56
Episode 78, epsilon=0.2068, total reward=-7.80
Episode 79, epsilon=0.2027, total reward=-0.23
Episode 80, epsilon=0.1986, total reward=-9.34
Episode 81, epsilon=0.1947, total reward=-4.89
Episode 82, epsilon=0.1908, total reward=-3.51
Episode 83, epsilon=0.1870, total reward=-8.51
Episode 84, epsilon=0.1832, total reward=0.40
Episode 85, epsilon=0.1796, total reward=-5.70
Episode 86, epsilon=0.1760, total reward=-7.46
Episode 87, epsilon=0.1725, total reward=-0.89
Episode 88, epsilon=0.1690, total reward=-5.59
Episode 89, epsilon=0.1656, total reward=-3.26
Episode 90, epsilon=0.1623, total reward=-5.70
Episode 91, epsilon=0.1591, total reward=-6.82
Episode 92, epsilon=0.1559, total reward=1.21
Episode 93, epsilon=0.1528, total reward=-2.07
Episode 94, epsilon=0.1497, total reward=-4.87
Episode 95, epsilon=0.1467, total reward=-1.41
Episode 96, epsilon=0.1438, total reward=-5.62
Episode 97, epsilon=0.1409, total reward=-4.19
Episode 98, epsilon=0.1381, total reward=-5.50
Episode 99, epsilon=0.1353, total reward=-9.73
Episode 100, epsilon=0.1326, total reward=3.23
Episode 101, epsilon=0.1300, total reward=-10.05
Episode 102, epsilon=0.1274, total reward=-8.30
Episode 103, epsilon=0.1248, total reward=5.86
Episode 104, epsilon=0.1223, total reward=-9.20
Episode 105, epsilon=0.1199, total reward=-3.76
Episode 106, epsilon=0.1175, total reward=-1.06
Episode 107, epsilon=0.1151, total reward=-10.80
Episode 108, epsilon=0.1128, total reward=-1.68
Episode 109, epsilon=0.1106, total reward=-0.87
Episode 110, epsilon=0.1084, total reward=0.02
Episode 111, epsilon=0.1062, total reward=-8.71
Episode 112, epsilon=0.1041, total reward=-7.95
Episode 113, epsilon=0.1020, total reward=0.05
Episode 114, epsilon=0.0999, total reward=-1.85
Episode 115, epsilon=0.0979, total reward=2.64
Episode 116, epsilon=0.0960, total reward=-1.50
Episode 117, epsilon=0.0941, total reward=-6.97
Episode 118, epsilon=0.0922, total reward=-3.31
