Episode 0, epsilon=1.0000, total reward=-20.30
Episode 1, epsilon=0.9900, total reward=-10.92
Episode 2, epsilon=0.9801, total reward=-6.30
Episode 3, epsilon=0.9703, total reward=-7.34
Episode 4, epsilon=0.9606, total reward=-4.42
Episode 5, epsilon=0.9510, total reward=-1.80
Episode 6, epsilon=0.9415, total reward=-10.10
Episode 7, epsilon=0.9321, total reward=-6.32
Episode 8, epsilon=0.9227, total reward=-1.51
Episode 9, epsilon=0.9135, total reward=-3.81
Episode 10, epsilon=0.9044, total reward=-3.25
Episode 11, epsilon=0.8953, total reward=-5.12
Episode 12, epsilon=0.8864, total reward=0.40
Episode 13, epsilon=0.8775, total reward=-3.17
Episode 14, epsilon=0.8687, total reward=-3.37
Episode 15, epsilon=0.8601, total reward=-0.58
Episode 16, epsilon=0.8515, total reward=-1.71
Episode 17, epsilon=0.8429, total reward=-1.13
Episode 18, epsilon=0.8345, total reward=-3.01
Episode 19, epsilon=0.8262, total reward=-5.12
Episode 20, epsilon=0.8179, total reward=-2.96
Episode 21, epsilon=0.8097, total reward=0.49
Episode 22, epsilon=0.8016, total reward=-3.55
Episode 23, epsilon=0.7936, total reward=-5.34
Episode 24, epsilon=0.7857, total reward=-5.26
Episode 25, epsilon=0.7778, total reward=-3.11
Episode 26, epsilon=0.7700, total reward=-8.14
Episode 27, epsilon=0.7623, total reward=0.34
Episode 28, epsilon=0.7547, total reward=-1.74
Episode 29, epsilon=0.7472, total reward=-4.57
Episode 30, epsilon=0.7397, total reward=-1.73
Episode 31, epsilon=0.7323, total reward=-3.38
Episode 32, epsilon=0.7250, total reward=-1.32
Episode 33, epsilon=0.7177, total reward=-1.62
Episode 34, epsilon=0.7106, total reward=-4.66
Episode 35, epsilon=0.7034, total reward=0.21
Episode 36, epsilon=0.6964, total reward=-5.36
Episode 37, epsilon=0.6894, total reward=-2.13
Episode 38, epsilon=0.6826, total reward=-1.52
Episode 39, epsilon=0.6757, total reward=-5.55
Episode 40, epsilon=0.6690, total reward=-3.48
Episode 41, epsilon=0.6623, total reward=-5.23
Episode 42, epsilon=0.6557, total reward=-1.57
Episode 43, epsilon=0.6491, total reward=0.64
Episode 44, epsilon=0.6426, total reward=-3.46
Episode 45, epsilon=0.6362, total reward=-2.58
Episode 46, epsilon=0.6298, total reward=-4.89
Episode 47, epsilon=0.6235, total reward=-3.85
Episode 48, epsilon=0.6173, total reward=-0.87
Episode 49, epsilon=0.6111, total reward=-3.75
Episode 50, epsilon=0.6050, total reward=-7.17
Episode 51, epsilon=0.5990, total reward=-3.23
Episode 52, epsilon=0.5930, total reward=-2.15
Episode 53, epsilon=0.5870, total reward=-6.67
Episode 54, epsilon=0.5812, total reward=-3.99
Episode 55, epsilon=0.5754, total reward=-3.53
Episode 56, epsilon=0.5696, total reward=-4.64
Episode 57, epsilon=0.5639, total reward=0.42
Episode 58, epsilon=0.5583, total reward=-1.66
Episode 59, epsilon=0.5527, total reward=-2.05
Episode 60, epsilon=0.5472, total reward=-1.68
Episode 61, epsilon=0.5417, total reward=-1.68
Episode 62, epsilon=0.5363, total reward=-6.81
Episode 63, epsilon=0.5309, total reward=-3.71
Episode 64, epsilon=0.5256, total reward=-8.01
Episode 65, epsilon=0.5203, total reward=-4.39
Episode 66, epsilon=0.5151, total reward=-4.57
Episode 67, epsilon=0.5100, total reward=1.24
Episode 68, epsilon=0.5049, total reward=-5.15
Episode 69, epsilon=0.4998, total reward=-3.32
Episode 70, epsilon=0.4948, total reward=-1.02
Episode 71, epsilon=0.4899, total reward=-3.15
Episode 72, epsilon=0.4850, total reward=-3.04
Episode 73, epsilon=0.4801, total reward=-8.17
Episode 74, epsilon=0.4753, total reward=-5.31
Episode 75, epsilon=0.4706, total reward=-1.72
Episode 76, epsilon=0.4659, total reward=-1.10
Episode 77, epsilon=0.4612, total reward=-1.80
Episode 78, epsilon=0.4566, total reward=-5.43
Episode 79, epsilon=0.4520, total reward=-1.66
Episode 80, epsilon=0.4475, total reward=-5.10
Episode 81, epsilon=0.4430, total reward=-4.37
Episode 82, epsilon=0.4386, total reward=-5.75
Episode 83, epsilon=0.4342, total reward=2.01
Episode 84, epsilon=0.4299, total reward=-3.22
Episode 85, epsilon=0.4256, total reward=-5.39
Episode 86, epsilon=0.4213, total reward=-5.23
Episode 87, epsilon=0.4171, total reward=-6.16
Episode 88, epsilon=0.4129, total reward=-4.02
Episode 89, epsilon=0.4088, total reward=-4.86
Episode 90, epsilon=0.4047, total reward=-9.48
Episode 91, epsilon=0.4007, total reward=-3.80
Episode 92, epsilon=0.3967, total reward=-0.28
Episode 93, epsilon=0.3927, total reward=-3.55
Episode 94, epsilon=0.3888, total reward=-2.48
Episode 95, epsilon=0.3849, total reward=-1.93
Episode 96, epsilon=0.3810, total reward=-3.51
Episode 97, epsilon=0.3772, total reward=-3.09
Episode 98, epsilon=0.3735, total reward=-7.56
Episode 99, epsilon=0.3697, total reward=-2.99Episode 0, epsilon=1.0000, total reward=-16.03
Episode 1, epsilon=0.9800, total reward=-14.54
Episode 2, epsilon=0.9604, total reward=-7.09
Episode 3, epsilon=0.9412, total reward=-7.11
Episode 4, epsilon=0.9224, total reward=-6.32
Episode 5, epsilon=0.9039, total reward=-4.35
Episode 6, epsilon=0.8858, total reward=-4.64
Episode 7, epsilon=0.8681, total reward=-6.59
Episode 8, epsilon=0.8508, total reward=-0.85
Episode 9, epsilon=0.8337, total reward=-0.50
Episode 10, epsilon=0.8171, total reward=-4.32
Episode 11, epsilon=0.8007, total reward=-1.40
Episode 12, epsilon=0.7847, total reward=-2.45
Episode 13, epsilon=0.7690, total reward=-2.12
Episode 14, epsilon=0.7536, total reward=-2.96
Episode 15, epsilon=0.7386, total reward=-3.56
Episode 16, epsilon=0.7238, total reward=-3.15
Episode 17, epsilon=0.7093, total reward=-2.93
Episode 18, epsilon=0.6951, total reward=-1.02
Episode 19, epsilon=0.6812, total reward=-3.78
Episode 20, epsilon=0.6676, total reward=-5.54
